program,category,bn,name,principal,staffopen,studentopen,receiving_bn,receiving_name,receiving_principal,receiving_address,receiving_borough,receiving_zip,address,latitude,longitude,index
,2,M020,P.S. 020 Anna Silver,Joyce Stallings Harte,,,,,,,,,166 ESSEX STREET Manhattan NY 10002,40.721253,-73.986797,M020 
,2,M539,"New Explorations Into Science, Technology And Math High School",Darlene Despeignes,,,,,,,,,111 COLUMBIA STREET Manhattan NY 10002,40.71867,-73.97943,M539 
,2,M378,School For Global Leaders,Marlon L. Hosang,,,,,,,,,145 STANTON STREET Manhattan NY 10002,40.720582,-73.985651,M378 
,2,M509,Marta Valle High School,Karen Feuer,,,,,,,,,145 STANTON STREET Manhattan NY 10002,40.720582,-73.985651,M509 
,2,M515,Lower East Side Preparatory High School,Loretta Caputo,,,,,,,,,145 STANTON STREET Manhattan NY 10002,40.720582,-73.985651,M515 
,2,M034,P.S. 034 Franklin D. Roosevelt,Melissa Rodriguez,,,,,,,,,730 EAST  12 STREET Manhattan NY 10009,40.726389,-73.974962,M034 
,2,M292,Henry Street School For International Studies,Esteban Barrientos,,,,,,,,,220 HENRY STREET Manhattan NY 10002,40.713767,-73.985443,M292 
,2,M332,University Neighborhood Middle School,Rhonda Levy,,,,,,,,,220 HENRY STREET Manhattan NY 10002,40.713767,-73.985443,M332 
,2,M345,"Collaborative Academy Of Science, Technology, & Language-Arts Education","Iris Chiu, I.A.",,,,,,,,,220 HENRY STREET Manhattan NY 10002,40.713767,-73.985443,M345 
,2,M315,The East Village Community School,Mary Pree,,,,,,,,,610 EAST  12 STREET Manhattan NY 10009,40.727904,-73.978562,M315 
,2,M361,The Children'S Workshop School,Christine Loughlin,,,,,,,,,610 EAST  12 STREET Manhattan NY 10009,40.727904,-73.978562,M361 
,2,M063,The Star Academy â€“ P.S.63,George Morgan,,,,,,,,,121 EAST  3 STREET Manhattan NY 10009,40.72417,-73.986497,M063 
,2,M363,Neighborhood School,Robin Williams,,,,,,,,,121 EAST  3 STREET Manhattan NY 10009,40.72417,-73.986497,M363 
,2,M064,P.S. 064 Robert Simon,Laura Peynado,,,,,,,,,600 EAST  6 STREET Manhattan NY 10009,40.724375,-73.981392,M064 
,2,M364,Earth School,Judith De Los Santos,,,,,,,,,600 EAST  6 STREET Manhattan NY 10009,40.724375,-73.981392,M364 
,2,M839,Tompkins Square Middle School,Maria Velez Clarke,,,,,,,,,600 EAST  6 STREET Manhattan NY 10009,40.724375,-73.981392,M839 
,2,M110,P.S. 110 Florence Nightingale,Milo Novelo,,,,,,,,,285 DELANCY STREET Manhattan NY 10002,40.716192,-73.979742,M110 
,2,M134,P.S. 134 Henrietta Szold,Alison Gail Hazut,,,,,,,,,293 EAST BROADWAY Manhattan NY 10002,40.714526,-73.984339,M134 
,2,M137,P.S. 137 John L. Bernstein,Carry Chan,,,,,,,,,293 EAST BROADWAY Manhattan NY 10002,40.714526,-73.984339,M137 
,2,M184,P.S. 184M Shuang Wen,Elizabeth Collins,,,,,,,,,327 CHERRY STREET Manhattan NY 10002,40.711563,-73.98641,M184 
,2,M140,P.S. 140 Nathan Straus,Mimi Fortunato,,,,,,,,,123 RIDGE STREET Manhattan NY 10002,40.719179,-73.983094,M140 
,2,M142,P.S. 142 Amalia Castro,Martha Polin,,,,,,,,,100 ATTORNEY STREET Manhattan NY 10002,40.718613,-73.984329,M142 
,2,M188,P.S. 188 The Island School,Dr. Olga Livanis,,,,,,,,,442 EAST HOUSTON STREET Manhattan NY 10002,40.719589,-73.977727,M188 
,2,M448,University Neighborhood High School,Paul Rotondo,,,,,,,,,200 MONROE STREET Manhattan NY 10002,40.712348,-73.984786,M448 
,2,M650,Cascades High School,Sonhando Estwick,,,,,,,,,198 FORSYTH STREET Manhattan NY 10002,40.722351,-73.99081,M650 
,2,M001,P.S. 001 Alfred E. Smith,Amy Hom,,,,,,,,,8 HENRY STREET Manhattan NY 10038,40.712768,-73.997407,M001 
